,service_id,date,exception_type
278,11,20161114,1
279,12,20161114,1
280,13,20161114,1
281,14,20161114,1
282,17,20161114,1
283,19,20161114,1
284,20,20161114,1
285,21,20161114,1
286,23,20161114,1
287,25,20161114,1
288,28,20161114,1
289,32,20161114,1
290,34,20161114,1
291,36,20161114,1
292,40,20161114,1
293,43,20161114,1
294,44,20161114,1
295,51,20161114,1
296,55,20161114,1
297,56,20161114,1
298,60,20161114,1
299,65,20161114,1
300,68,20161114,1
301,71,20161114,1
302,73,20161114,1
303,5,20161115,1
304,12,20161115,1
305,14,20161115,1
306,16,20161115,1
307,17,20161115,1
308,19,20161115,1
309,20,20161115,1
310,21,20161115,1
311,23,20161115,1
312,25,20161115,1
313,28,20161115,1
314,34,20161115,1
315,35,20161115,1
316,37,20161115,1
317,40,20161115,1
318,42,20161115,1
319,43,20161115,1
320,45,20161115,1
321,47,20161115,1
322,49,20161115,1
323,51,20161115,1
324,52,20161115,1
325,53,20161115,1
326,56,20161115,1
327,59,20161115,1
328,60,20161115,1
329,68,20161115,1
330,72,20161115,1
331,11,20161116,1
332,12,20161116,1
333,15,20161116,1
334,16,20161116,1
335,17,20161116,1
336,19,20161116,1
337,20,20161116,1
338,21,20161116,1
339,23,20161116,1
340,25,20161116,1
341,28,20161116,1
342,32,20161116,1
343,34,20161116,1
344,36,20161116,1
345,37,20161116,1
346,38,20161116,1
347,39,20161116,1
348,40,20161116,1
349,47,20161116,1
350,49,20161116,1
351,51,20161116,1
352,52,20161116,1
353,53,20161116,1
354,55,20161116,1
355,57,20161116,1
356,59,20161116,1
357,66,20161116,1
358,67,20161116,1
359,68,20161116,1
360,71,20161116,1
361,72,20161116,1
362,11,20161117,1
363,12,20161117,1
364,14,20161117,1
365,16,20161117,1
366,17,20161117,1
367,19,20161117,1
368,20,20161117,1
369,21,20161117,1
370,23,20161117,1
371,25,20161117,1
372,28,20161117,1
373,34,20161117,1
374,37,20161117,1
375,38,20161117,1
376,40,20161117,1
377,41,20161117,1
378,42,20161117,1
379,43,20161117,1
380,45,20161117,1
381,47,20161117,1
382,48,20161117,1
383,51,20161117,1
384,52,20161117,1
385,53,20161117,1
386,55,20161117,1
387,59,20161117,1
388,60,20161117,1
389,68,20161117,1
390,71,20161117,1
391,72,20161117,1
392,9,20161118,1
393,11,20161118,1
394,12,20161118,1
395,14,20161118,1
396,16,20161118,1
397,17,20161118,1
398,19,20161118,1
399,20,20161118,1
400,21,20161118,1
401,23,20161118,1
402,25,20161118,1
403,28,20161118,1
404,31,20161118,1
405,32,20161118,1
406,37,20161118,1
407,40,20161118,1
408,42,20161118,1
409,43,20161118,1
410,44,20161118,1
411,47,20161118,1
412,49,20161118,1
413,50,20161118,1
414,51,20161118,1
415,52,20161118,1
416,53,20161118,1
417,56,20161118,1
418,66,20161118,1
419,71,20161118,1
420,73,20161118,1
421,3,20161119,1
422,9,20161119,1
423,20,20161119,1
424,23,20161119,1
425,26,20161119,1
426,28,20161119,1
427,40,20161119,1
428,47,20161119,1
429,51,20161119,1
430,52,20161119,1
431,62,20161119,1
432,67,20161119,1
433,73,20161119,1
434,2,20161120,1
435,22,20161120,1
436,33,20161120,1
437,40,20161120,1
438,51,20161120,1
439,62,20161120,1
440,11,20161121,1
441,12,20161121,1
442,13,20161121,1
443,14,20161121,1
444,17,20161121,1
445,19,20161121,1
446,20,20161121,1
447,21,20161121,1
448,23,20161121,1
449,25,20161121,1
450,28,20161121,1
451,32,20161121,1
452,34,20161121,1
453,36,20161121,1
454,40,20161121,1
455,43,20161121,1
456,44,20161121,1
457,51,20161121,1
458,55,20161121,1
459,56,20161121,1
460,60,20161121,1
461,65,20161121,1
462,68,20161121,1
463,71,20161121,1
464,73,20161121,1
465,5,20161122,1
466,12,20161122,1
467,14,20161122,1
468,16,20161122,1
469,17,20161122,1
470,19,20161122,1
471,20,20161122,1
472,21,20161122,1
473,23,20161122,1
474,25,20161122,1
475,28,20161122,1
476,34,20161122,1
477,35,20161122,1
478,37,20161122,1
479,40,20161122,1
480,42,20161122,1
481,43,20161122,1
482,45,20161122,1
483,47,20161122,1
484,49,20161122,1
485,51,20161122,1
486,52,20161122,1
487,53,20161122,1
488,56,20161122,1
489,59,20161122,1
490,60,20161122,1
491,68,20161122,1
492,72,20161122,1
493,11,20161123,1
494,12,20161123,1
495,15,20161123,1
496,16,20161123,1
497,17,20161123,1
498,19,20161123,1
499,20,20161123,1
500,21,20161123,1
501,23,20161123,1
502,25,20161123,1
503,28,20161123,1
504,32,20161123,1
505,34,20161123,1
506,36,20161123,1
507,37,20161123,1
508,38,20161123,1
509,39,20161123,1
510,40,20161123,1
511,47,20161123,1
512,49,20161123,1
513,51,20161123,1
514,52,20161123,1
515,53,20161123,1
516,55,20161123,1
517,57,20161123,1
518,59,20161123,1
519,66,20161123,1
520,67,20161123,1
521,68,20161123,1
522,71,20161123,1
523,72,20161123,1
524,11,20161124,1
525,12,20161124,1
526,14,20161124,1
527,16,20161124,1
528,17,20161124,1
529,19,20161124,1
530,20,20161124,1
531,21,20161124,1
532,23,20161124,1
533,25,20161124,1
534,28,20161124,1
535,34,20161124,1
536,37,20161124,1
537,38,20161124,1
538,40,20161124,1
539,41,20161124,1
540,42,20161124,1
541,43,20161124,1
542,45,20161124,1
543,47,20161124,1
544,48,20161124,1
545,51,20161124,1
546,52,20161124,1
547,53,20161124,1
548,55,20161124,1
549,59,20161124,1
550,60,20161124,1
551,68,20161124,1
552,71,20161124,1
553,72,20161124,1
554,9,20161125,1
555,11,20161125,1
556,12,20161125,1
557,14,20161125,1
558,16,20161125,1
559,17,20161125,1
560,19,20161125,1
561,20,20161125,1
562,21,20161125,1
563,23,20161125,1
564,25,20161125,1
565,28,20161125,1
566,31,20161125,1
567,32,20161125,1
568,37,20161125,1
569,40,20161125,1
570,42,20161125,1
571,43,20161125,1
572,44,20161125,1
573,47,20161125,1
574,49,20161125,1
575,50,20161125,1
576,51,20161125,1
577,52,20161125,1
578,53,20161125,1
579,56,20161125,1
580,66,20161125,1
581,71,20161125,1
582,73,20161125,1
583,3,20161126,1
584,9,20161126,1
585,20,20161126,1
586,23,20161126,1
587,26,20161126,1
588,28,20161126,1
589,40,20161126,1
590,47,20161126,1
591,51,20161126,1
592,52,20161126,1
593,62,20161126,1
594,67,20161126,1
595,73,20161126,1
596,2,20161127,1
597,22,20161127,1
598,33,20161127,1
599,40,20161127,1
600,51,20161127,1
601,62,20161127,1
602,11,20161128,1
603,12,20161128,1
604,13,20161128,1
605,14,20161128,1
606,17,20161128,1
607,19,20161128,1
608,20,20161128,1
609,21,20161128,1
610,23,20161128,1
611,25,20161128,1
612,28,20161128,1
613,32,20161128,1
614,34,20161128,1
615,36,20161128,1
616,40,20161128,1
617,43,20161128,1
618,44,20161128,1
619,51,20161128,1
620,55,20161128,1
621,56,20161128,1
622,60,20161128,1
623,65,20161128,1
624,68,20161128,1
625,71,20161128,1
626,73,20161128,1
627,5,20161129,1
628,12,20161129,1
629,14,20161129,1
630,16,20161129,1
631,17,20161129,1
632,19,20161129,1
633,20,20161129,1
634,21,20161129,1
635,23,20161129,1
636,25,20161129,1
637,28,20161129,1
638,34,20161129,1
639,35,20161129,1
640,37,20161129,1
641,40,20161129,1
642,42,20161129,1
643,43,20161129,1
644,45,20161129,1
645,47,20161129,1
646,49,20161129,1
647,51,20161129,1
648,52,20161129,1
649,53,20161129,1
650,56,20161129,1
651,59,20161129,1
652,60,20161129,1
653,68,20161129,1
654,72,20161129,1
655,11,20161130,1
656,12,20161130,1
657,15,20161130,1
658,16,20161130,1
659,17,20161130,1
660,19,20161130,1
661,20,20161130,1
662,21,20161130,1
663,23,20161130,1
664,25,20161130,1
665,28,20161130,1
666,32,20161130,1
667,34,20161130,1
668,36,20161130,1
669,37,20161130,1
670,38,20161130,1
671,39,20161130,1
672,40,20161130,1
673,47,20161130,1
674,49,20161130,1
675,51,20161130,1
676,52,20161130,1
677,53,20161130,1
678,55,20161130,1
679,57,20161130,1
680,59,20161130,1
681,66,20161130,1
682,67,20161130,1
683,68,20161130,1
684,71,20161130,1
685,72,20161130,1
686,11,20161201,1
687,14,20161201,1
688,16,20161201,1
689,17,20161201,1
690,19,20161201,1
691,20,20161201,1
692,21,20161201,1
693,23,20161201,1
694,25,20161201,1
695,28,20161201,1
696,34,20161201,1
697,37,20161201,1
698,38,20161201,1
699,40,20161201,1
700,41,20161201,1
701,42,20161201,1
702,43,20161201,1
703,45,20161201,1
704,47,20161201,1
705,48,20161201,1
706,51,20161201,1
707,52,20161201,1
708,53,20161201,1
709,55,20161201,1
710,59,20161201,1
711,60,20161201,1
712,68,20161201,1
713,71,20161201,1
714,72,20161201,1
715,9,20161202,1
716,11,20161202,1
717,14,20161202,1
718,16,20161202,1
719,17,20161202,1
720,19,20161202,1
721,20,20161202,1
722,21,20161202,1
723,23,20161202,1
724,25,20161202,1
725,28,20161202,1
726,31,20161202,1
727,32,20161202,1
728,37,20161202,1
729,40,20161202,1
730,42,20161202,1
731,43,20161202,1
732,44,20161202,1
733,47,20161202,1
734,49,20161202,1
735,50,20161202,1
736,51,20161202,1
737,52,20161202,1
738,53,20161202,1
739,56,20161202,1
740,66,20161202,1
741,71,20161202,1
742,73,20161202,1
743,3,20161203,1
744,9,20161203,1
745,20,20161203,1
746,23,20161203,1
747,26,20161203,1
748,28,20161203,1
749,40,20161203,1
750,47,20161203,1
751,51,20161203,1
752,52,20161203,1
753,62,20161203,1
754,67,20161203,1
755,73,20161203,1
756,2,20161204,1
757,22,20161204,1
758,33,20161204,1
759,40,20161204,1
760,51,20161204,1
761,62,20161204,1
762,11,20161205,1
763,13,20161205,1
764,14,20161205,1
765,17,20161205,1
766,19,20161205,1
767,20,20161205,1
768,21,20161205,1
769,23,20161205,1
770,25,20161205,1
771,28,20161205,1
772,32,20161205,1
773,34,20161205,1
774,36,20161205,1
775,40,20161205,1
776,43,20161205,1
777,44,20161205,1
778,51,20161205,1
779,55,20161205,1
780,56,20161205,1
781,60,20161205,1
782,65,20161205,1
783,68,20161205,1
784,71,20161205,1
785,73,20161205,1
786,5,20161206,1
787,14,20161206,1
788,16,20161206,1
789,17,20161206,1
790,19,20161206,1
791,20,20161206,1
792,21,20161206,1
793,23,20161206,1
794,25,20161206,1
795,28,20161206,1
796,34,20161206,1
797,35,20161206,1
798,37,20161206,1
799,40,20161206,1
800,42,20161206,1
801,43,20161206,1
802,45,20161206,1
803,47,20161206,1
804,49,20161206,1
805,51,20161206,1
806,52,20161206,1
807,53,20161206,1
808,56,20161206,1
809,59,20161206,1
810,60,20161206,1
811,68,20161206,1
812,72,20161206,1
813,11,20161207,1
814,15,20161207,1
815,16,20161207,1
816,17,20161207,1
817,19,20161207,1
818,20,20161207,1
819,21,20161207,1
820,23,20161207,1
821,25,20161207,1
822,28,20161207,1
823,32,20161207,1
824,34,20161207,1
825,36,20161207,1
826,37,20161207,1
827,38,20161207,1
828,39,20161207,1
829,40,20161207,1
830,47,20161207,1
831,49,20161207,1
832,51,20161207,1
833,52,20161207,1
834,53,20161207,1
835,55,20161207,1
836,57,20161207,1
837,59,20161207,1
838,66,20161207,1
839,67,20161207,1
840,68,20161207,1
841,71,20161207,1
842,72,20161207,1
843,2,20161208,1
844,22,20161208,1
845,33,20161208,1
846,40,20161208,1
847,51,20161208,1
848,62,20161208,1
849,9,20161209,1
850,11,20161209,1
851,14,20161209,1
852,16,20161209,1
853,17,20161209,1
854,19,20161209,1
855,20,20161209,1
856,21,20161209,1
857,23,20161209,1
858,25,20161209,1
859,28,20161209,1
860,31,20161209,1
861,32,20161209,1
862,37,20161209,1
863,40,20161209,1
864,42,20161209,1
865,43,20161209,1
866,44,20161209,1
867,47,20161209,1
868,49,20161209,1
869,50,20161209,1
870,51,20161209,1
871,52,20161209,1
872,53,20161209,1
873,56,20161209,1
874,66,20161209,1
875,71,20161209,1
876,73,20161209,1
877,3,20161210,1
878,9,20161210,1
879,20,20161210,1
880,23,20161210,1
881,26,20161210,1
882,28,20161210,1
883,40,20161210,1
884,47,20161210,1
885,51,20161210,1
886,52,20161210,1
887,62,20161210,1
888,67,20161210,1
889,73,20161210,1
890,2,20161211,1
891,22,20161211,1
892,33,20161211,1
893,40,20161211,1
894,51,20161211,1
895,62,20161211,1
896,11,20161212,1
897,13,20161212,1
898,14,20161212,1
899,17,20161212,1
900,19,20161212,1
901,20,20161212,1
902,21,20161212,1
903,23,20161212,1
904,25,20161212,1
905,28,20161212,1
906,32,20161212,1
907,34,20161212,1
908,36,20161212,1
909,40,20161212,1
910,43,20161212,1
911,44,20161212,1
912,51,20161212,1
913,55,20161212,1
914,56,20161212,1
915,60,20161212,1
916,65,20161212,1
917,68,20161212,1
918,71,20161212,1
919,73,20161212,1
920,5,20161213,1
921,14,20161213,1
922,16,20161213,1
923,17,20161213,1
924,19,20161213,1
925,20,20161213,1
926,21,20161213,1
927,23,20161213,1
928,25,20161213,1
929,28,20161213,1
930,34,20161213,1
931,35,20161213,1
932,37,20161213,1
933,40,20161213,1
934,42,20161213,1
935,43,20161213,1
936,45,20161213,1
937,47,20161213,1
938,49,20161213,1
939,51,20161213,1
940,52,20161213,1
941,53,20161213,1
942,56,20161213,1
943,59,20161213,1
944,60,20161213,1
945,68,20161213,1
946,72,20161213,1
947,11,20161214,1
948,15,20161214,1
949,16,20161214,1
950,17,20161214,1
951,19,20161214,1
952,20,20161214,1
953,21,20161214,1
954,23,20161214,1
955,25,20161214,1
956,28,20161214,1
957,32,20161214,1
958,34,20161214,1
959,36,20161214,1
960,37,20161214,1
961,38,20161214,1
962,39,20161214,1
963,40,20161214,1
964,47,20161214,1
965,49,20161214,1
966,51,20161214,1
967,52,20161214,1
968,53,20161214,1
969,55,20161214,1
970,57,20161214,1
971,59,20161214,1
972,66,20161214,1
973,67,20161214,1
974,68,20161214,1
975,71,20161214,1
976,72,20161214,1
977,11,20161215,1
978,14,20161215,1
979,16,20161215,1
980,17,20161215,1
981,19,20161215,1
982,20,20161215,1
983,21,20161215,1
984,23,20161215,1
985,25,20161215,1
986,28,20161215,1
987,34,20161215,1
988,37,20161215,1
989,38,20161215,1
990,40,20161215,1
991,41,20161215,1
992,42,20161215,1
993,43,20161215,1
994,45,20161215,1
995,47,20161215,1
996,48,20161215,1
997,51,20161215,1
998,52,20161215,1
999,53,20161215,1
1000,55,20161215,1
1001,59,20161215,1
1002,60,20161215,1
1003,68,20161215,1
1004,71,20161215,1
1005,72,20161215,1
1006,9,20161216,1
1007,11,20161216,1
1008,14,20161216,1
1009,16,20161216,1
1010,17,20161216,1
1011,19,20161216,1
1012,20,20161216,1
1013,21,20161216,1
1014,23,20161216,1
1015,25,20161216,1
1016,28,20161216,1
1017,31,20161216,1
1018,32,20161216,1
1019,37,20161216,1
1020,40,20161216,1
1021,42,20161216,1
1022,43,20161216,1
1023,44,20161216,1
1024,47,20161216,1
1025,49,20161216,1
1026,50,20161216,1
1027,51,20161216,1
1028,52,20161216,1
1029,53,20161216,1
1030,56,20161216,1
1031,66,20161216,1
1032,71,20161216,1
1033,73,20161216,1
1034,3,20161217,1
1035,9,20161217,1
1036,20,20161217,1
1037,23,20161217,1
1038,26,20161217,1
1039,28,20161217,1
1040,40,20161217,1
1041,47,20161217,1
1042,51,20161217,1
1043,52,20161217,1
1044,62,20161217,1
1045,67,20161217,1
1046,73,20161217,1
1047,2,20161218,1
1048,22,20161218,1
1049,33,20161218,1
1050,40,20161218,1
1051,51,20161218,1
1052,62,20161218,1
1053,11,20161219,1
1054,13,20161219,1
1055,14,20161219,1
1056,17,20161219,1
1057,19,20161219,1
1058,20,20161219,1
1059,21,20161219,1
1060,23,20161219,1
1061,25,20161219,1
1062,28,20161219,1
1063,32,20161219,1
1064,34,20161219,1
1065,36,20161219,1
1066,40,20161219,1
1067,43,20161219,1
1068,44,20161219,1
1069,51,20161219,1
1070,55,20161219,1
1071,56,20161219,1
1072,60,20161219,1
1073,65,20161219,1
1074,68,20161219,1
1075,71,20161219,1
1076,73,20161219,1
1077,5,20161220,1
1078,14,20161220,1
