,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5350,53086003,,STAZIONE SUPERGA (BASILICA DI SUPERGA),Basilica di Superga,45.08122,7.76624,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=SUPERGA&stoppingPointCtl:action:getTransits,0
5351,53104001,12518.0,Fermata 12518 - Volpiano (Gommista),,45.19699,7.7672,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=12518&stoppingPointCtl:action:getTransits,0
5352,53121001,3030.0,Fermata 3030 - STAZIONE ,V.NAZIONALE N.82 CAMBIANO,44.96494,7.77436,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=3030&stoppingPointCtl:action:getTransits,0
5353,53147001,3021.0,Fermata 3021 - GENOVA,V.SAMBUY N.24 SANTENA,44.9527,7.77804,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=3021&stoppingPointCtl:action:getTransits,0
5354,53158001,10787.0,Fermata 10787 - San Mauro (Scambio Peso),,45.10927,7.7758,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=10787&stoppingPointCtl:action:getTransits,0
5355,53174001,3023.0,Fermata 3023 - MINORCHIO,V.SAMBUY / V.TETTI BARBIERI SANTENA,44.95499,7.78158,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=3023&stoppingPointCtl:action:getTransits,0
5356,53186001,12524.0,Fermata 12524 - Volpiano (Stazione),,45.2007,7.77975,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=12524&stoppingPointCtl:action:getTransits,0
5357,53211001,2867.0,Fermata 2867 - LEONCAVALLO,STR.CHIERI N.84 PINO TOR.SE,45.03115,7.79283,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=2867&stoppingPointCtl:action:getTransits,0
5358,53219001,2865.0,Fermata 2865 - ADAMELLO,STR.CHIERI N.96 PINO TOR.SE,45.03006,7.79504,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=2865&stoppingPointCtl:action:getTransits,0
5359,53229001,15200.0,Fermata 15200 - Silva (Bivio),,45.39122,7.79383,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=15200&stoppingPointCtl:action:getTransits,0
5360,53233001,3310.0,Fermata 3310 - ZENIT,V. SUPERGA N. 55/1,45.07309,7.80156,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=3310&stoppingPointCtl:action:getTransits,0
5361,53236002,20799.0,Fermata 20799 - Castiglione (Pedaggio),,45.11733,7.8017,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=20799&stoppingPointCtl:action:getTransits,0
